impl,workload,thread_count,copy_bytes,iter,e2e_ns,pause_p50_ns,pause_p99_ns,dispatch_p50_ns,dispatch_p99_ns,ok_count,truncated_count,timed_out_count,unregistered_count,error_count
kill60,spin,4,8192,20,180618,2816,3537,2264,2304,4,0,0,0,0
kill60,spin,4,8192,21,177923,2715,3958,2384,2705,4,0,0,0,0
kill60,spin,4,8192,22,178675,3436,5060,2394,2916,4,0,0,0,0
kill60,spin,4,8192,23,178594,3567,4368,2354,2595,4,0,0,0,0
kill60,spin,4,8192,24,178314,2705,3757,2394,2585,4,0,0,0,0
kill60,spin,4,8192,25,179166,2935,3968,2615,2665,4,0,0,0,0
kill60,spin,4,8192,26,133761,3296,4689,2865,2966,4,0,0,0,0
kill60,spin,4,8192,27,182552,3396,4248,2435,2565,4,0,0,0,0
kill60,spin,4,8192,28,178865,3377,4218,2665,2765,4,0,0,0,0
kill60,spin,4,8192,29,182482,2625,3627,2234,2334,4,0,0,0,0
kill60,spin,4,8192,30,180828,3396,4569,2395,2796,4,0,0,0,0
kill60,spin,4,8192,31,178764,3306,4237,2345,2765,4,0,0,0,0
kill60,spin,4,8192,32,179216,3156,3948,2605,2605,4,0,0,0,0
kill60,spin,4,8192,33,178805,3096,4128,2214,2364,4,0,0,0,0
kill60,spin,4,8192,34,179717,3667,4148,2665,2926,4,0,0,0,0
kill60,spin,4,8192,35,333615,2524,2875,1834,1894,4,0,0,0,0
kill60,spin,4,8192,36,293470,2645,3537,2265,2424,4,0,0,0,0
kill60,spin,4,8192,37,192831,2846,3116,2113,2184,4,0,0,0,0
kill60,spin,4,8192,38,179546,3366,3426,1713,1864,4,0,0,0,0
kill60,spin,4,8192,39,180458,2405,2916,1724,1773,4,0,0,0,0
kill60,spin,4,8192,40,177302,4228,4559,1654,1673,4,0,0,0,0
kill60,spin,4,8192,41,177732,2324,2345,1633,1703,4,0,0,0,0
kill60,spin,4,8192,42,177202,2655,3416,1684,1693,4,0,0,0,0
